model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency
lite-model_mobilenet_v2_100_224_fp32_1,ubuntus,tf,class,0.0423863762280014,0.8542,0.924,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_6_13_14_50_ubuntus_3_onlylat.csv
lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,class,0.0430809466059982,0.8542,0.924,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_6_12_14_33_raspberryos_3_onlylat.csv
lite-model_mobilenet_v2_100_224_uint8_1,ubuntus,tf,class,0.0282248118630022,0.8517,0.9205,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_6_13_14_52_ubuntus_3_onlylat.csv
lite-model_mobilenet_v2_100_224_uint8_1,raspberryos,tf,class,0.0280463267940008,0.8517,0.9205,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_6_12_14_34_raspberryos_3_onlylat.csv
lite-model_mobilenet_v3_large_100_224_fp32_1,ubuntus,tf,class,0.0386274457730009,0.8559,0.9232,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_6_13_14_44_ubuntus_3_onlylat.csv
lite-model_mobilenet_v3_large_100_224_fp32_1,raspberryos,tf,class,0.0386455027849998,0.8559,0.9232,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_6_11_21_51_raspberryos_3_onlylat.csv
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0285301197360005,0.8538,0.9141,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_6_13_14_46_ubuntus_3_onlylat.csv
lite-model_mobilenet_v3_large_100_224_uint8_1,raspberryos,tf,class,0.0282194322749999,0.8538,0.9141,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_6_12_14_27_raspberryos_3_onlylat.csv
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0124093833990012,0.8037,0.8747,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_6_13_14_48_ubuntus_3_onlylat.csv
lite-model_mobilenet_v3_small_100_224_fp32_1,raspberryos,tf,class,0.0125477170510002,0.8037,0.8747,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_6_12_14_29_raspberryos_3_onlylat.csv
